---New run---
[ENTER] -> Citizen
[EXIT] <- Citizen
[ENTER] -> updateStatistics
[ENTER] -> obj
[ENTER] -> Time
[EXIT] <- Time
[EXIT] <- obj
[ENTER] -> GetPassedMonths
[EXIT] <- GetPassedMonths
[ENTER] -> CalcHappiness
[EXIT] <- CalcHappiness
[EXIT] <- updateStatistics
[ENTER] -> updateStatistics
[ENTER] -> obj
[EXIT] <- obj
[ENTER] -> GetPassedMonths
[EXIT] <- GetPassedMonths
[ENTER] -> CalcHappiness
[EXIT] <- CalcHappiness
[EXIT] <- updateStatistics
[ENTER] -> updateStatistics
[ENTER] -> obj
[EXIT] <- obj
[ENTER] -> GetPassedMonths
[EXIT] <- GetPassedMonths
[ENTER] -> CalcHappiness
[EXIT] <- CalcHappiness
[EXIT] <- updateStatistics
[ENTER] -> updateStatistics
[ENTER] -> obj
[EXIT] <- obj
[ENTER] -> GetPassedMonths
[EXIT] <- GetPassedMonths
[ENTER] -> CalcHappiness
[EXIT] <- CalcHappiness
[EXIT] <- updateStatistics
[ENTER] -> updateStatistics
[ENTER] -> obj
[EXIT] <- obj
[ENTER] -> GetPassedMonths
[EXIT] <- GetPassedMonths
[ENTER] -> CalcHappiness
[EXIT] <- CalcHappiness
[EXIT] <- updateStatistics
[ENTER] -> updateStatistics
[ENTER] -> obj
[EXIT] <- obj
[ENTER] -> GetPassedMonths
[EXIT] <- GetPassedMonths
[ENTER] -> CalcHappiness
[EXIT] <- CalcHappiness
[EXIT] <- updateStatistics
[ENTER] -> updateStatistics
[ENTER] -> obj
[EXIT] <- obj
[ENTER] -> GetPassedMonths
[EXIT] <- GetPassedMonths
[ENTER] -> CalcHappiness
[EXIT] <- CalcHappiness
[EXIT] <- updateStatistics
[ENTER] -> updateStatistics
[ENTER] -> obj
[EXIT] <- obj
[ENTER] -> GetPassedMonths
[EXIT] <- GetPassedMonths
[ENTER] -> CalcHappiness
[EXIT] <- CalcHappiness
[EXIT] <- updateStatistics
[ENTER] -> updateStatistics
[ENTER] -> obj
[EXIT] <- obj
[ENTER] -> GetPassedMonths
[EXIT] <- GetPassedMonths
[ENTER] -> CalcHappiness
[EXIT] <- CalcHappiness
[EXIT] <- updateStatistics
[ENTER] -> updateStatistics
[ENTER] -> obj
[EXIT] <- obj
[ENTER] -> GetPassedMonths
[EXIT] <- GetPassedMonths
[ENTER] -> CalcHappiness
[EXIT] <- CalcHappiness
[EXIT] <- updateStatistics
[ENTER] -> updateStatistics
[ENTER] -> obj
[EXIT] <- obj
[ENTER] -> GetPassedMonths
[EXIT] <- GetPassedMonths
[ENTER] -> CalcHappiness
[EXIT] <- CalcHappiness
[EXIT] <- updateStatistics
[ENTER] -> updateStatistics
[ENTER] -> obj
[EXIT] <- obj
[ENTER] -> GetPassedMonths
[EXIT] <- GetPassedMonths
[ENTER] -> CalcHappiness
[EXIT] <- CalcHappiness
[EXIT] <- updateStatistics
[ENTER] -> updateStatistics
[ENTER] -> obj
[EXIT] <- obj
[ENTER] -> GetPassedMonths
[EXIT] <- GetPassedMonths
[ENTER] -> CalcHappiness
[EXIT] <- CalcHappiness
[EXIT] <- updateStatistics
[ENTER] -> updateStatistics
[ENTER] -> obj
[EXIT] <- obj
[ENTER] -> GetPassedMonths
[EXIT] <- GetPassedMonths
[ENTER] -> CalcHappiness
[EXIT] <- CalcHappiness
[EXIT] <- updateStatistics
[ENTER] -> updateStatistics
[ENTER] -> obj
[EXIT] <- obj
[ENTER] -> GetPassedMonths
[EXIT] <- GetPassedMonths
[ENTER] -> CalcHappiness
[EXIT] <- CalcHappiness
[EXIT] <- updateStatistics
[ENTER] -> updateStatistics
[ENTER] -> obj
[EXIT] <- obj
[ENTER] -> GetPassedMonths
[EXIT] <- GetPassedMonths
[ENTER] -> CalcHappiness
[EXIT] <- CalcHappiness
[EXIT] <- updateStatistics
[ENTER] -> updateStatistics
[ENTER] -> obj
[EXIT] <- obj
[ENTER] -> GetPassedMonths
[EXIT] <- GetPassedMonths
[ENTER] -> CalcHappiness
[EXIT] <- CalcHappiness
[EXIT] <- updateStatistics
---New run---
[ENTER] -> Citizen
[EXIT] <- Citizen
[ENTER] -> updateStatistics
[ENTER] -> obj
[ENTER] -> Time
[EXIT] <- Time
[EXIT] <- obj
[ENTER] -> GetPassedMonths
[EXIT] <- GetPassedMonths
[ENTER] -> CalcHappiness
[EXIT] <- CalcHappiness
[EXIT] <- updateStatistics
[ENTER] -> updateStatistics
[ENTER] -> obj
[EXIT] <- obj
[ENTER] -> GetPassedMonths
[EXIT] <- GetPassedMonths
[ENTER] -> CalcHappiness
[EXIT] <- CalcHappiness
[EXIT] <- updateStatistics
[ENTER] -> updateStatistics
[ENTER] -> obj
[EXIT] <- obj
[ENTER] -> GetPassedMonths
[EXIT] <- GetPassedMonths
[ENTER] -> CalcHappiness
[EXIT] <- CalcHappiness
[EXIT] <- updateStatistics
[ENTER] -> updateStatistics
[ENTER] -> obj
[EXIT] <- obj
[ENTER] -> GetPassedMonths
[EXIT] <- GetPassedMonths
[ENTER] -> CalcHappiness
[EXIT] <- CalcHappiness
[EXIT] <- updateStatistics
[ENTER] -> updateStatistics
[ENTER] -> obj
[EXIT] <- obj
[ENTER] -> GetPassedMonths
[EXIT] <- GetPassedMonths
[ENTER] -> CalcHappiness
[EXIT] <- CalcHappiness
[EXIT] <- updateStatistics
[ENTER] -> updateStatistics
[ENTER] -> obj
[EXIT] <- obj
[ENTER] -> GetPassedMonths
[EXIT] <- GetPassedMonths
[ENTER] -> CalcHappiness
[EXIT] <- CalcHappiness
[EXIT] <- updateStatistics
[ENTER] -> updateStatistics
[ENTER] -> obj
[EXIT] <- obj
[ENTER] -> GetPassedMonths
[EXIT] <- GetPassedMonths
[ENTER] -> CalcHappiness
[EXIT] <- CalcHappiness
[EXIT] <- updateStatistics
[ENTER] -> updateStatistics
[ENTER] -> obj
[EXIT] <- obj
[ENTER] -> GetPassedMonths
[EXIT] <- GetPassedMonths
[ENTER] -> CalcHappiness
[EXIT] <- CalcHappiness
[EXIT] <- updateStatistics
[ENTER] -> updateStatistics
[ENTER] -> obj
[EXIT] <- obj
[ENTER] -> GetPassedMonths
[EXIT] <- GetPassedMonths
[ENTER] -> CalcHappiness
[EXIT] <- CalcHappiness
[EXIT] <- updateStatistics
[ENTER] -> updateStatistics
[ENTER] -> obj
[EXIT] <- obj
[ENTER] -> GetPassedMonths
[EXIT] <- GetPassedMonths
[ENTER] -> CalcHappiness
[EXIT] <- CalcHappiness
[EXIT] <- updateStatistics
[ENTER] -> updateStatistics
[ENTER] -> obj
[EXIT] <- obj
[ENTER] -> GetPassedMonths
[EXIT] <- GetPassedMonths
[ENTER] -> CalcHappiness
[EXIT] <- CalcHappiness
[EXIT] <- updateStatistics
[ENTER] -> updateStatistics
[ENTER] -> obj
[EXIT] <- obj
[ENTER] -> GetPassedMonths
[EXIT] <- GetPassedMonths
[ENTER] -> CalcHappiness
[EXIT] <- CalcHappiness
[EXIT] <- updateStatistics
[ENTER] -> updateStatistics
[ENTER] -> obj
[EXIT] <- obj
[ENTER] -> GetPassedMonths
[EXIT] <- GetPassedMonths
[ENTER] -> CalcHappiness
[EXIT] <- CalcHappiness
[EXIT] <- updateStatistics
[ENTER] -> updateStatistics
[ENTER] -> obj
[EXIT] <- obj
[ENTER] -> GetPassedMonths
[EXIT] <- GetPassedMonths
[ENTER] -> CalcHappiness
[EXIT] <- CalcHappiness
[EXIT] <- updateStatistics
[ENTER] -> updateStatistics
[ENTER] -> obj
[EXIT] <- obj
[ENTER] -> GetPassedMonths
[EXIT] <- GetPassedMonths
[ENTER] -> CalcHappiness
[EXIT] <- CalcHappiness
[EXIT] <- updateStatistics
[ENTER] -> updateStatistics
[ENTER] -> obj
[EXIT] <- obj
[ENTER] -> GetPassedMonths
[EXIT] <- GetPassedMonths
[ENTER] -> CalcHappiness
[EXIT] <- CalcHappiness
[EXIT] <- updateStatistics
[ENTER] -> updateStatistics
[ENTER] -> obj
[EXIT] <- obj
[ENTER] -> GetPassedMonths
[EXIT] <- GetPassedMonths
[ENTER] -> CalcHappiness
[EXIT] <- CalcHappiness
[EXIT] <- updateStatistics
